index,text_a,text_b,prompt,preferred_text
471,f7c21def70b1addd5c6330b6371e6ff692b2982be1daebafe93ee541bbfcb74f,e8d72b165a40bfd32692a49dc7192c4860eea0f3f0dd902b8f7eda08f7010838,0e7ada6f6cf39bc46feabb95d569ef2b6a6d5a144c01be5ab6dca6a22e18f7c0,text_a
92,cd40b9eb7e821d3b1dc86aa4556835ab5c72a3ac183208e802804b03770f7f88,1cfe7c08cd04ca9ce34138196f8fc8988d6f1141477acd6744394aa0ccfb937b,1a89d93c70fb512984eaa1f07e189a55b824442f7edbef9f031d667311e58028,text_a
488,7597856b09019163fd7d288e86da772367794f9242e5fc70c1a3ed88c62feafa,fea09a78b855a2d7bc23b749dc6e45af5477d865bd0aac85eb17d720f8b1133f,7b2cc82a6311516d4b036de51559636d334b9bf4f02b18ee0bae7aaa5b3a5d96,text_a
203,b7877b71e5b2e1d9b5cb80a33f4b1ce48e293299a28599e0e97149cae2e7d44d,e63bf01086038d20dfc979161e1458a99717e1dc199bcac3f21dbd503dd94dca,1c813f31f5786df39173823adc1cfa776ca8f1ec6c63aefe5774baefb71e6b55,text_a
139,31c5c6a3d6cc5f155e4f44333b9698bd7ca8a9c84acd4bbbb5af2a9a6c387770,b884f49dfaf9dea6ab5a6cd5c899b44d7285025926e95e3dfca5ef96483d608e,a707b87aca6c35b2c7e07fc6d44a0bc456b6584a9015d41b5fc72019f5c4a6ae,text_a
513,599d7e98c9bf4b3f31b41bcb2ed5d38f7a88cdc019da34cb6cdf9f7b6374c67d,241ece8ffc2cb81d217bffad132f06ab701549042f1123c2b7bb8bf0253272fd,37c29da60ee55a25b806c5654733b3a692725af8a9e32a6a4c8765f63c5e84b0,text_b
491,d7cf6e77797b3cf5ca42fc4809a11498d41b54599acc84d37441efd7a3294b5d,d98a608d3b9497ac1bcc038f1e9fe6bd336d0b931bbbc86743c9011fdf783a4c,843203165be0b5039d08b3da731f0249b43fc383fe89ca38cf1fe3141d6fc6b5,text_b
164,5991071dfb9b888127c3c6a5d3bae850b520786289e03217e76944bc50bc3a97,18569ccf49331545b08763423b5133286613656a6fd5013a5662bd3e3d67b533,7abfb43505ec577f556329801f4f6fefae08c59742ac7257cfa480f2ee02558d,text_a
83,5677c64ff4ee4a70f3bb74390a22c6f40bf7c5a176ad676d7f21f59b52cd161c,1a62f59c247f42ef5ba753d36efba47f74decb40a987449731b61026a978d98f,4ba20e78ae651417ea883c150c14c7b27bcabea3a29ddbc02d99f8c103d57568,text_a
587,f19c2057c561a1f892382650b4dc16fba6d10d0b60062e718ec952e4004053ea,0f76e37eb0f4ad9dea87e32ce78991cd414b7c7d3510ed2eb71d7ab737f733c7,e528d64a37c8c28ea1ef4747c4c7706e7369df54983656f29c9fcea75c03a024,text_a
12,f90ea2ab46b7d889dd6d92ef9ed16570a261dab42cbf95ea5d9d0209f34442a3,0755a37d7c0ab292934f5a7985d7d848aa20b73964a48635e5db72302170f857,ef419df70b12a5f225007eef0312e727a1cdb67ceb7991f2ab18c544c43ba8d8,text_b
